time,open,high,low,close,volume
2026-04-11T05:39:00Z,72851.41,72872.28,72851.41,72866.01,1.55078949
2026-04-11T05:42:00Z,72866.0,72869.6,72842.0,72842.01,2.5623505399999997
2026-04-11T05:45:00Z,72842.02,72842.02,72803.28,72806.01,2.5725181399999997
2026-04-11T05:48:00Z,72806.01,72829.13,72806.0,72806.02,1.44181597
2026-04-11T05:51:00Z,72806.02,72808.49,72792.87,72792.88,1.08838297
2026-04-11T05:54:00Z,72792.88,72818.99,72750.0,72752.0,2.71654393
2026-04-11T05:57:00Z,72752.0,72767.4,72752.0,72763.44,3.15791251
2026-04-11T06:00:00Z,72763.44,72763.44,72687.37,72687.37,7.38695074
2026-04-11T06:03:00Z,72687.36,72750.41,72650.0,72737.04,14.27580109
2026-04-11T06:06:00Z,72734.29,72742.56,72670.01,72712.21,20.35087298
2026-04-11T06:09:00Z,72712.2,72736.23,72698.4,72736.22,3.2418253999999997
2026-04-11T06:12:00Z,72736.23,72743.73,72695.65,72711.99,8.50784605
2026-04-11T06:15:00Z,72711.99,72753.84,72702.47,72750.0,3.2145990600000003
2026-04-11T06:18:00Z,72750.0,72755.23,72728.76,72748.08,3.76529086
2026-04-11T06:21:00Z,72748.08,72767.23,72740.08,72749.18,4.19472226
2026-04-11T06:24:00Z,72749.18,72752.0,72668.04,72705.0,3.26950368
2026-04-11T06:27:00Z,72705.0,72737.98,72702.49,72723.25,1.72128882
2026-04-11T06:30:00Z,72723.25,72742.56,72723.24,72736.0,0.7229982699999999
2026-04-11T06:33:00Z,72736.01,72767.25,72716.41,72756.85,4.73951647
2026-04-11T06:36:00Z,72756.84,72785.23,72745.33,72781.0,3.1324730699999996
2026-04-11T06:39:00Z,72781.0,72790.79,72756.33,72765.6,1.8152170300000001
2026-04-11T06:42:00Z,72765.61,72775.3,72757.82,72762.29,2.11066282
2026-04-11T06:45:00Z,72762.29,72774.0,72750.78,72763.02,2.9634923
2026-04-11T06:48:00Z,72763.01,72779.87,72734.5,72779.87,6.97861087
2026-04-11T06:51:00Z,72779.87,72802.38,72779.86,72802.37,0.53272691
2026-04-11T06:54:00Z,72802.37,72811.29,72792.01,72804.03,1.35877069
2026-04-11T06:57:00Z,72804.03,72810.75,72791.02,72803.28,1.86331821
2026-04-11T07:00:00Z,72803.28,72811.56,72784.74,72800.52,1.3065919400000001
2026-04-11T07:03:00Z,72800.52,72817.65,72792.0,72807.59,2.15738072
2026-04-11T07:06:00Z,72807.59,72807.59,72786.0,72797.76,1.2051626500000001
2026-04-11T07:09:00Z,72797.76,72799.35,72781.65,72783.02,0.94085289
2026-04-11T07:12:00Z,72783.01,72801.69,72776.0,72790.16,2.72638799
2026-04-11T07:15:00Z,72791.71,72822.56,72791.71,72806.88,3.9728410600000004
2026-04-11T07:18:00Z,72806.88,72813.36,72786.05,72806.03,1.88587456
2026-04-11T07:21:00Z,72806.03,72838.65,72796.0,72826.02,2.57263215
2026-04-11T07:24:00Z,72826.03,72875.73,72826.03,72854.76,5.9577325199999995
2026-04-11T07:27:00Z,72854.76,72863.87,72826.0,72833.21,2.76159532
